
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
40-0317                          U4                                35   1     30  30   1 29         29 0                     (0-0-0)
40-0317                          U4                                35   1     31  31   1 30         30 0                     (0-0-0)
40-0317                          U4                                35   1     32  32   1 33         33 0                     (0-0-0)
40-0317                          U4                                35   1     33  33   1 34         34 0 OTG_HS_VBUS         (4631-6-13)
40-0317                          U4                                35   1     34  34   1 35         35 0 OTG_HS_DM           (4264-7-13)
40-0317                          U4                                35   1     35  35   1 36         36 0 OTG_HS_DP           (4264-8-13)
40-0317                          U4                                35   1     36  36   1 8           8 0 RGB_R               (4194-10-13)
40-0317                          U4                                35   1     37  37   1 9           9 0 RGB_G               (4194-11-13)
40-0317                          U4                                35   1     38  38   1 10         10 0 RGB_B               (4194-12-13)
40-0317                          U4                                35   1     39  39   1 11         11 0                     (0-0-0)
40-0317                          U4                                35   1     40  40   1 24         24 0                     (0-0-0)
40-0317                          U4                                35   1     41  41   1 25         25 0                     (0-0-0)
40-0317                          U4                                35   1     42  42   1 37         37 0                     (0-0-0)
40-0317                          U4                                35   1     43  43   1 38         38 0                     (0-0-0)
40-0317                          U4                                35   1     44  44   1 39         39 0 SD_D0               (4228-14-13)
40-0317                          U4                                35   1     45  45   1 40         40 0 SD_D1               (4228-10-13)
40-0317                          U4                                35   1     46  46   1 51         51 0 SD_D2               (4228-12-13)
40-0317                          U4                                35   1     47  47   1 52         52 0 SD_D3               (4228-11-13)
40-0317                          U4                                35   1     48  48   1 53         53 0 SD_SCK              (4228-15-13)
40-0317                          U4                                35   1     49  49   1 2           2 0                     (0-0-0)
40-0317                          U4                                35   1     50  50   1 3           3 0                     (0-0-0)
40-0317                          U4                                35   1     51  51   1 4           4 0                     (0-0-0)
40-0317                          U4                                35   1     52  52   1 54         54 0 SD_CMD              (4228-13-13)
40-0317                          U4                                35   1     53  53   1 7           7 0 RESETn              (4631-1-13)
40-0317                          U4                                35   1     54  54   1 1           1 0 VCC                 (43-2-13)
40-0317                          U4                                35   1     55  55   1 31         31 0 XSIG011417          (4228-3-13)
40-0317                          U4                                35   1     56  56   1 47         47 0 XSIG011416          (4228-2-13)
40-0317                          U4                                35   1     57  57   1 13         13 0 VCC                 (43-2-13)
40-0317                          U4                                35   2      1   1   2 64         64 0 VCC                 (43-2-13)
40-0317                          U4                                35   2      1   1   3 48         48 0 VCC                 (43-2-13)
40-0317                          U4                                35   2      1   1   4 32         32 0 VCC                 (43-2-13)
40-0317                          U4                                35   2      1   1   5 19         19 0 VCC                 (43-2-13)
40-0317                          U4                                35   3      1   1   6 63         63 0 GND                 (43-1-13)
40-0317                          U4                                35   3      1   1   7 18         18 0 GND                 (43-1-13)
40-0317                          U4                                35   3      1   1   8 12         12 0 GND                 (43-1-13)
50-0029                          L2                                67   1      1   1   1 1           1 0 XSIG040055          (4631-24-13)
50-0029                          L2                                67   1      2   2   1 2           2 0 XSIG040065          (4631-28-13)
50-0033                          L1                                29   1      1   1   1 1           1 0 XSIG040065          (4631-28-13)
50-0033                          L1                                29   1      2   2   1 2           2 0 XSIG040066          (4631-29-13)
50-0036                          L4                                50   1      1   1   1 1           1 0 XSIG040091          (4696-5-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
50-0036                          L4                                50   1      2   2   1 2           2 0 XSIG040092          (4696-6-13)
50-0036                          L5                                49   1      1   1   1 1           1 0 XSIG030059          (4707-2-13)
50-0036                          L5                                49   1      2   2   1 2           2 0 XSIG030051          (4696-2-13)
50-0048                          L3                                58   1      1   1   1 1           1 0 XSIG020389          (4631-7-13)
50-0048                          L3                                58   1      2   2   1 2           2 0 XSIG020390          (4631-8-13)
70-0058                          J4                                52   1      1   1   1 3           7 0 SD_CMD              (4228-13-13)
70-0058                          J4                                52   1      2   2   1 7          11 0 SD_D0               (4228-14-13)
70-0058                          J4                                52   1      3   3   1 8          12 0 SD_D1               (4228-10-13)
70-0058                          J4                                52   1      4   4   1 1           5 0 SD_D2               (4228-12-13)
70-0058                          J4                                52   1      5   5   1 2           6 0 SD_D3               (4228-11-13)
70-0058                          J4                                52   1      6   6   1 6          10 0 GND                 (43-1-13)
70-0058                          J4                                52   1      7   7   1 5           9 0 SD_SCK              (4228-15-13)
70-0058                          J4                                52   1      8   8   1 GND1        1 0 GND                 (43-1-13)
70-0058                          J4                                52   1      9   9   1 GND2        2 0 GND                 (43-1-13)
70-0058                          J4                                52   1     10  10   1 GND3        3 0 GND                 (43-1-13)
70-0058                          J4                                52   1     11  11   1 GND4        4 0 GND                 (43-1-13)
70-0058                          J4                                52   1     12  12   1 4           8 0 VCC                 (43-2-13)
70-0065                          J1                                22   1      1   1   1 2           2 0 OTG_HS_DM           (4264-7-13)
70-0065                          J1                                22   1      2   2   1 3           3 0 OTG_HS_DP           (4264-8-13)
70-0065                          J1                                22   1      3   3   1 5           5 0 GND                 (43-1-13)
70-0065                          J1                                22   1      4   4   1 4           4 0                     (0-0-0)
70-0065                          J1                                22   1      5   5   1 6           6 0 GND                 (43-1-13)
70-0065                          J1                                22   1      6   6   1 7           7 0 GND                 (43-1-13)
